analysis,model_name,outcome,condition_a,condition_b,n_pairs,median_a,median_b,median_difference_a_minus_b,wilcoxon_statistic,p_value_raw,rank_biserial_a_minus_b,p_value_holm,significant_holm
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Conversational,89,0.04879606166220363,0.06286897156851068,-0.01353622429770851,430.0,1.2462327800987457e-10,-0.7852684144818977,3.115581950246864e-09,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Formal/Professional,89,0.04879606166220363,0.13888936745084712,-0.08609972542839595,16.0,4.386109388356918e-16,-0.9920099875156055,1.973749224760613e-14,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Informal,89,0.04879606166220363,0.10045816976835886,-0.05370250476083105,22.0,5.368728264883498e-16,-0.9890137328339575,2.362240436548739e-14,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Conditional,89,0.04879606166220363,0.10299138939029517,-0.0573571446475597,244.0,6.265504326895498e-13,-0.8781523096129837,1.8796512980686492e-11,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Highly Specific,89,0.04879606166220363,0.11106816341914416,-0.056750560935715066,70.0,2.6480081474313614e-15,-0.9650436953807741,1.0592032589725446e-13,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Ambiguous,89,0.04879606166220363,0.056921929233101576,-0.010330324542613178,1083.0,0.00016858463508710633,-0.4591760299625468,0.0028659387964808077,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Comparative,89,0.04879606166220363,0.1759456306135032,-0.12091002130847239,23.0,5.552369103404419e-16,-0.9885143570536828,2.3875187144639e-14,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Constraint-Based,89,0.04879606166220363,0.1255784502864281,-0.0709013555840372,41.0,1.0143247852603166e-15,-0.9795255930087391,4.26016409809333e-14,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Direct Question,Role-Based/Expert Framing,89,0.04879606166220363,0.0556822048486707,-0.0014783178257835594,1590.0,0.09147513873073394,-0.20599250936329588,0.7318011098458715,False
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Conversational,Formal/Professional,89,0.06286897156851068,0.13888936745084712,-0.0659920521057884,188.0,1.13901700084492e-13,-0.9061173533083645,3.644854402703744e-12,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Conversational,Informal,89,0.06286897156851068,0.10045816976835886,-0.039877739453068495,411.0,7.448990384512001e-11,-0.7947565543071161,1.93673749997312e-09,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Conversational,Conditional,89,0.06286897156851068,0.10299138939029517,-0.03730273159774322,748.0,2.8583693913365273e-07,-0.6264669163545568,6.002575721806708e-06,True
RQ2_full_observed,ChatGPT,lsa_semantic_divergence,Conversational,Highly Specific,89,0.06286897156851068,0.11106816341914416,-0.04121651928786785,383.0,3.4517718690358614e-11,-0.8087390761548064,9.319784046396826e-10,True
