phrasing_type,lsa_semantic_divergence,lexical_jaccard_instability,response_length_deviation_pct,structural_deviation,recommendation_instability_proxy,claim_verification_risk_proxy,core_behavioural_sensitivity
Direct Question,-1.3410675657046944,-1.693017794027785,-0.8093789566973251,-0.9394406592640132,-0.5433619074817194,-0.16085400839685648,-1.4545639714717065
Conversational,-0.7085052266271367,-0.8011863052129137,-0.910453858803082,-0.7059044069772963,-0.5795803480362702,0.644413176006997,-0.9319922039108618
Formal/Professional,1.5866446697704213,1.514828514936496,2.27133068211148,-0.06031381216092206,0.798249384772236,0.9742895032634615,1.3750505534695392
Informal,0.09041441018923438,0.2445114789768394,0.6620609190397463,-0.08719833356592234,-0.5348403751554021,-0.12004945215993076,0.4117296806607207
Conditional,1.0567628955108752,0.6332039947797119,-0.9246960801524681,-0.3515627940484269,0.8262572212356283,0.33971658600482013,0.3067155701054493
Highly Specific,0.11329862638843251,0.8516619059019551,0.9503504905425061,0.926291177370632,1.190302123615037,-0.8456017136484976,0.7953139043358718
Ambiguous,-0.9032923243420741,-0.9474049130015526,-0.6761650981131694,-0.6157474249563155,0.12865172433657374,0.2463906794633314,-0.975126674828725
Comparative,1.320612588552567,0.8214697406826956,0.0744382929286673,0.0900836554090804,1.2354480853069725,0.9179239553153792,0.9303033465204259
Constraint-Based,0.003487728889220299,0.47660680933230387,0.1785233846260188,2.5628473477841203,-2.161991500605939,-2.558402606308556,0.8454805590102612
Role-Based/Expert Framing,-1.2183558026268446,-1.1006734323677445,-0.816009775482375,-0.8190547495909344,-0.35913440798691404,0.5621738804598506,-1.302910763890971
